Name,TraceName,AbstractTestName,EvaluationTime,TimeIndex,VectorFlag,Pass,Fail,Error,SpeciesInvolved,SpeciesCountAtEvaluation,ReactionsInvolved,ReactionCountAtEvaluation,TimesFail,TimesReaction
A9|7|Evaluation|001,7|Evaluation|001,A9,MaxTime,2,1,1,0,0,{CO->false}{X1->false}{Y->false}{H->false}{M->false}{PO->false}{CE->false}{D->false}{PE->false}{A->false}{B->false},{CO->0.00}{X1->0.00}{Y->0.00}{H->0.00}{M->0.00}{PO->0.00}{CE->0.00}{D->0.00}{PE->0.00}{A->0.00}{B->0.00},{R|NEW_REACTION->false}{R|Reaction1->false}{R|Reaction10->false}{R|Reaction11->false}{R|Reaction2->false}{R|Reaction3->false}{R|Reaction4->false}{R|Reaction5->false}{R|Reaction6->false}{R|Reaction7->false}{R|Reaction8->false}{R|Reaction9->false},{R|NEW_REACTION->0.00}{R|Reaction1->0.00}{R|Reaction10->0.00}{R|Reaction11->0.00}{R|Reaction2->0.00}{R|Reaction3->0.00}{R|Reaction4->0.00}{R|Reaction5->0.00}{R|Reaction6->0.00}{R|Reaction7->0.00}{R|Reaction8->0.00}{R|Reaction9->0.00},{false}{false},{2}{7|Evaluation|001}
A9|7|Evaluation|002,7|Evaluation|002,A9,MaxTime,2,1,1,0,0,{CO->false}{X1->false}{Y->false}{H->false}{M->false}{PO->false}{CE->false}{D->false}{PE->false}{A->false}{B->false},{CO->0.00}{X1->0.00}{Y->0.00}{H->0.00}{M->0.00}{PO->0.00}{CE->0.00}{D->0.00}{PE->0.00}{A->0.00}{B->0.00},{R|NEW_REACTION->false}{R|Reaction1->false}{R|Reaction10->false}{R|Reaction11->false}{R|Reaction2->false}{R|Reaction3->false}{R|Reaction4->false}{R|Reaction5->false}{R|Reaction6->false}{R|Reaction7->false}{R|Reaction8->false}{R|Reaction9->false},{R|NEW_REACTION->0.00}{R|Reaction1->0.00}{R|Reaction10->0.00}{R|Reaction11->0.00}{R|Reaction2->0.00}{R|Reaction3->0.00}{R|Reaction4->0.00}{R|Reaction5->0.00}{R|Reaction6->0.00}{R|Reaction7->0.00}{R|Reaction8->0.00}{R|Reaction9->0.00},{false}{false},{2}{7|Evaluation|002}
A9|7|Evaluation|003,7|Evaluation|003,A9,MaxTime,2,1,1,0,0,{CO->false}{X1->false}{Y->false}{H->false}{M->false}{PO->false}{CE->false}{D->false}{PE->false}{A->false}{B->false},{CO->0.00}{X1->0.00}{Y->0.00}{H->0.00}{M->0.00}{PO->0.00}{CE->0.00}{D->0.00}{PE->0.00}{A->0.00}{B->0.00},{R|NEW_REACTION->false}{R|Reaction1->false}{R|Reaction10->false}{R|Reaction11->false}{R|Reaction2->false}{R|Reaction3->false}{R|Reaction4->false}{R|Reaction5->false}{R|Reaction6->false}{R|Reaction7->false}{R|Reaction8->false}{R|Reaction9->false},{R|NEW_REACTION->0.00}{R|Reaction1->0.00}{R|Reaction10->0.00}{R|Reaction11->0.00}{R|Reaction2->0.00}{R|Reaction3->0.00}{R|Reaction4->0.00}{R|Reaction5->0.00}{R|Reaction6->0.00}{R|Reaction7->0.00}{R|Reaction8->0.00}{R|Reaction9->0.00},{false}{false},{2}{7|Evaluation|003}
A9|7|Evaluation|004,7|Evaluation|004,A9,MaxTime,2,1,1,0,0,{CO->false}{X1->false}{Y->false}{H->false}{M->false}{PO->false}{CE->false}{D->false}{PE->false}{A->false}{B->false},{CO->0.00}{X1->0.00}{Y->0.00}{H->0.00}{M->0.00}{PO->0.00}{CE->0.00}{D->0.00}{PE->0.00}{A->0.00}{B->0.00},{R|NEW_REACTION->false}{R|Reaction1->false}{R|Reaction10->false}{R|Reaction11->false}{R|Reaction2->false}{R|Reaction3->false}{R|Reaction4->false}{R|Reaction5->false}{R|Reaction6->false}{R|Reaction7->false}{R|Reaction8->false}{R|Reaction9->false},{R|NEW_REACTION->0.00}{R|Reaction1->0.00}{R|Reaction10->0.00}{R|Reaction11->0.00}{R|Reaction2->0.00}{R|Reaction3->0.00}{R|Reaction4->0.00}{R|Reaction5->0.00}{R|Reaction6->0.00}{R|Reaction7->0.00}{R|Reaction8->0.00}{R|Reaction9->0.00},{false}{false},{2}{7|Evaluation|004}
A9|7|Evaluation|005,7|Evaluation|005,A9,MaxTime,2,1,1,0,0,{CO->false}{X1->false}{Y->false}{H->false}{M->false}{PO->false}{CE->false}{D->false}{PE->false}{A->false}{B->false},{CO->0.00}{X1->0.00}{Y->0.00}{H->0.00}{M->0.00}{PO->0.00}{CE->0.00}{D->0.00}{PE->0.00}{A->0.00}{B->0.00},{R|NEW_REACTION->false}{R|Reaction1->false}{R|Reaction10->false}{R|Reaction11->false}{R|Reaction2->false}{R|Reaction3->false}{R|Reaction4->false}{R|Reaction5->false}{R|Reaction6->false}{R|Reaction7->false}{R|Reaction8->false}{R|Reaction9->false},{R|NEW_REACTION->0.00}{R|Reaction1->0.00}{R|Reaction10->0.00}{R|Reaction11->0.00}{R|Reaction2->0.00}{R|Reaction3->0.00}{R|Reaction4->0.00}{R|Reaction5->0.00}{R|Reaction6->0.00}{R|Reaction7->0.00}{R|Reaction8->0.00}{R|Reaction9->0.00},{false}{false},{2}{7|Evaluation|005}
A9|7|Evaluation|006,7|Evaluation|006,A9,MaxTime,2,1,1,0,0,{CO->false}{X1->false}{Y->false}{H->false}{M->false}{PO->false}{CE->false}{D->false}{PE->false}{A->false}{B->false},{CO->0.00}{X1->0.00}{Y->0.00}{H->0.00}{M->0.00}{PO->0.00}{CE->0.00}{D->0.00}{PE->0.00}{A->0.00}{B->0.00},{R|NEW_REACTION->false}{R|Reaction1->false}{R|Reaction10->false}{R|Reaction11->false}{R|Reaction2->false}{R|Reaction3->false}{R|Reaction4->false}{R|Reaction5->false}{R|Reaction6->false}{R|Reaction7->false}{R|Reaction8->false}{R|Reaction9->false},{R|NEW_REACTION->0.00}{R|Reaction1->0.00}{R|Reaction10->0.00}{R|Reaction11->0.00}{R|Reaction2->0.00}{R|Reaction3->0.00}{R|Reaction4->0.00}{R|Reaction5->0.00}{R|Reaction6->0.00}{R|Reaction7->0.00}{R|Reaction8->0.00}{R|Reaction9->0.00},{false}{false},{2}{7|Evaluation|006}
A9|7|Evaluation|007,7|Evaluation|007,A9,MaxTime,2,1,1,0,0,{CO->false}{X1->false}{Y->false}{H->false}{M->false}{PO->false}{CE->false}{D->false}{PE->false}{A->false}{B->false},{CO->0.00}{X1->0.00}{Y->0.00}{H->0.00}{M->0.00}{PO->0.00}{CE->0.00}{D->0.00}{PE->0.00}{A->0.00}{B->0.00},{R|NEW_REACTION->false}{R|Reaction1->false}{R|Reaction10->false}{R|Reaction11->false}{R|Reaction2->false}{R|Reaction3->false}{R|Reaction4->false}{R|Reaction5->false}{R|Reaction6->false}{R|Reaction7->false}{R|Reaction8->false}{R|Reaction9->false},{R|NEW_REACTION->0.00}{R|Reaction1->0.00}{R|Reaction10->0.00}{R|Reaction11->0.00}{R|Reaction2->0.00}{R|Reaction3->0.00}{R|Reaction4->0.00}{R|Reaction5->0.00}{R|Reaction6->0.00}{R|Reaction7->0.00}{R|Reaction8->0.00}{R|Reaction9->0.00},{false}{false},{2}{7|Evaluation|007}
A9|7|Evaluation|008,7|Evaluation|008,A9,MaxTime,2,1,1,0,0,{CO->false}{X1->false}{Y->false}{H->false}{M->false}{PO->false}{CE->false}{D->false}{PE->false}{A->false}{B->false},{CO->0.00}{X1->0.00}{Y->0.00}{H->0.00}{M->0.00}{PO->0.00}{CE->0.00}{D->0.00}{PE->0.00}{A->0.00}{B->0.00},{R|NEW_REACTION->false}{R|Reaction1->false}{R|Reaction10->false}{R|Reaction11->false}{R|Reaction2->false}{R|Reaction3->false}{R|Reaction4->false}{R|Reaction5->false}{R|Reaction6->false}{R|Reaction7->false}{R|Reaction8->false}{R|Reaction9->false},{R|NEW_REACTION->0.00}{R|Reaction1->0.00}{R|Reaction10->0.00}{R|Reaction11->0.00}{R|Reaction2->0.00}{R|Reaction3->0.00}{R|Reaction4->0.00}{R|Reaction5->0.00}{R|Reaction6->0.00}{R|Reaction7->0.00}{R|Reaction8->0.00}{R|Reaction9->0.00},{false}{false},{2}{7|Evaluation|008}
A9|7|Evaluation|009,7|Evaluation|009,A9,MaxTime,2,1,1,0,0,{CO->false}{X1->false}{Y->false}{H->false}{M->false}{PO->false}{CE->false}{D->false}{PE->false}{A->false}{B->false},{CO->0.00}{X1->0.00}{Y->0.00}{H->0.00}{M->0.00}{PO->0.00}{CE->0.00}{D->0.00}{PE->0.00}{A->0.00}{B->0.00},{R|NEW_REACTION->false}{R|Reaction1->false}{R|Reaction10->false}{R|Reaction11->false}{R|Reaction2->false}{R|Reaction3->false}{R|Reaction4->false}{R|Reaction5->false}{R|Reaction6->false}{R|Reaction7->false}{R|Reaction8->false}{R|Reaction9->false},{R|NEW_REACTION->0.00}{R|Reaction1->0.00}{R|Reaction10->0.00}{R|Reaction11->0.00}{R|Reaction2->0.00}{R|Reaction3->0.00}{R|Reaction4->0.00}{R|Reaction5->0.00}{R|Reaction6->0.00}{R|Reaction7->0.00}{R|Reaction8->0.00}{R|Reaction9->0.00},{false}{false},{2}{7|Evaluation|009}
A9|7|Evaluation|010,7|Evaluation|010,A9,MaxTime,2,1,1,0,0,{CO->false}{X1->false}{Y->false}{H->false}{M->false}{PO->false}{CE->false}{D->false}{PE->false}{A->false}{B->false},{CO->0.00}{X1->0.00}{Y->0.00}{H->0.00}{M->0.00}{PO->0.00}{CE->0.00}{D->0.00}{PE->0.00}{A->0.00}{B->0.00},{R|NEW_REACTION->false}{R|Reaction1->false}{R|Reaction10->false}{R|Reaction11->false}{R|Reaction2->false}{R|Reaction3->false}{R|Reaction4->false}{R|Reaction5->false}{R|Reaction6->false}{R|Reaction7->false}{R|Reaction8->false}{R|Reaction9->false},{R|NEW_REACTION->0.00}{R|Reaction1->0.00}{R|Reaction10->0.00}{R|Reaction11->0.00}{R|Reaction2->0.00}{R|Reaction3->0.00}{R|Reaction4->0.00}{R|Reaction5->0.00}{R|Reaction6->0.00}{R|Reaction7->0.00}{R|Reaction8->0.00}{R|Reaction9->0.00},{false}{false},{2}{7|Evaluation|010}
