Name,ConcreteInputName,AbstractTestName,EvaluationTime,EvaluationNames,Pass,Fail,Error,FlakeyFail,DeterministicPass,DeterministicFail,DeterministicError,Evaluation_Number,Evaluation_NumberPass,Evaluation_NumberFail,Evaluation_NumberError
A0|1|GE,1,A0,MaxTime,{A0|1|Evaluation|001}{A0|1|Evaluation|002}{A0|1|Evaluation|003}{A0|1|Evaluation|004}{A0|1|Evaluation|005}{A0|1|Evaluation|006}{A0|1|Evaluation|007}{A0|1|Evaluation|008}{A0|1|Evaluation|009}{A0|1|Evaluation|010},0,1,0,0,0,1,0,20,0,20,0
A0|2|GE,2,A0,MaxTime,{A0|2|Evaluation|001}{A0|2|Evaluation|002}{A0|2|Evaluation|003}{A0|2|Evaluation|004}{A0|2|Evaluation|005}{A0|2|Evaluation|006}{A0|2|Evaluation|007}{A0|2|Evaluation|008}{A0|2|Evaluation|009}{A0|2|Evaluation|010},0,1,0,0,0,1,0,20,0,20,0
A0|3|GE,3,A0,MaxTime,{A0|3|Evaluation|001}{A0|3|Evaluation|002}{A0|3|Evaluation|003}{A0|3|Evaluation|004}{A0|3|Evaluation|005}{A0|3|Evaluation|006}{A0|3|Evaluation|007}{A0|3|Evaluation|008}{A0|3|Evaluation|009}{A0|3|Evaluation|010},0,1,0,0,0,1,0,20,0,20,0
A0|4|GE,4,A0,MaxTime,{A0|4|Evaluation|001}{A0|4|Evaluation|002}{A0|4|Evaluation|003}{A0|4|Evaluation|004}{A0|4|Evaluation|005}{A0|4|Evaluation|006}{A0|4|Evaluation|007}{A0|4|Evaluation|008}{A0|4|Evaluation|009}{A0|4|Evaluation|010},0,1,0,0,0,1,0,20,0,20,0
A0|5|GE,5,A0,MaxTime,{A0|5|Evaluation|001}{A0|5|Evaluation|002}{A0|5|Evaluation|003}{A0|5|Evaluation|004}{A0|5|Evaluation|005}{A0|5|Evaluation|006}{A0|5|Evaluation|007}{A0|5|Evaluation|008}{A0|5|Evaluation|009}{A0|5|Evaluation|010},0,1,0,0,0,1,0,20,0,20,0
A0|6|GE,6,A0,MaxTime,{A0|6|Evaluation|001}{A0|6|Evaluation|002}{A0|6|Evaluation|003}{A0|6|Evaluation|004}{A0|6|Evaluation|005}{A0|6|Evaluation|006}{A0|6|Evaluation|007}{A0|6|Evaluation|008}{A0|6|Evaluation|009}{A0|6|Evaluation|010},0,1,0,0,0,1,0,20,0,20,0
A0|7|GE,7,A0,MaxTime,{A0|7|Evaluation|001}{A0|7|Evaluation|002}{A0|7|Evaluation|003}{A0|7|Evaluation|004}{A0|7|Evaluation|005}{A0|7|Evaluation|006}{A0|7|Evaluation|007}{A0|7|Evaluation|008}{A0|7|Evaluation|009}{A0|7|Evaluation|010},1,0,0,0,1,0,0,20,20,0,0
A0|8|GE,8,A0,MaxTime,{A0|8|Evaluation|001}{A0|8|Evaluation|002}{A0|8|Evaluation|003}{A0|8|Evaluation|004}{A0|8|Evaluation|005}{A0|8|Evaluation|006}{A0|8|Evaluation|007}{A0|8|Evaluation|008}{A0|8|Evaluation|009}{A0|8|Evaluation|010},0,1,0,0,0,1,0,20,0,20,0
A0|9|GE,9,A0,MaxTime,{A0|9|Evaluation|001}{A0|9|Evaluation|002}{A0|9|Evaluation|003}{A0|9|Evaluation|004}{A0|9|Evaluation|005}{A0|9|Evaluation|006}{A0|9|Evaluation|007}{A0|9|Evaluation|008}{A0|9|Evaluation|009}{A0|9|Evaluation|010},0,1,0,0,0,1,0,20,0,20,0
A0|10|GE,10,A0,MaxTime,{A0|10|Evaluation|001}{A0|10|Evaluation|002}{A0|10|Evaluation|003}{A0|10|Evaluation|004}{A0|10|Evaluation|005}{A0|10|Evaluation|006}{A0|10|Evaluation|007}{A0|10|Evaluation|008}{A0|10|Evaluation|009}{A0|10|Evaluation|010},0,1,0,0,0,1,0,20,0,20,0
